x	y	mean_x	mean_y	log2FC	gene
scdrs_N	scdrs_T	0.0	0.0	0.0	1_2013213_2015530
scdrs_N	scdrs_T	0.005	0.006666667	0.41503757	1_2019298_2030758
scdrs_N	scdrs_T	0.0016666667	0.01	2.5849624	1_2049203_2050070
scdrs_N	scdrs_T	0.46833333	0.465	-0.010305027	1_2050470_2220738
scdrs_N	scdrs_T	0.13833334	0.1	-0.4681488	1_2228695_2310119
scdrs_N	scdrs_T	0.045	0.043333333	-0.054447837	1_2321253_2391707
scdrs_N	scdrs_T	0.99833333	0.9	-0.14959662	1_2391775_2413797
scdrs_N	scdrs_T	0.04	0.036666665	-0.12553094	1_2425980_2505530
scdrs_N	scdrs_T	0.026666667	0.041666668	0.64385617	1_2508533_2526628
scdrs_N	scdrs_T	0.016666668	0.028333334	0.7655347	1_2528745_2547460
scdrs_N	scdrs_T	0.38666666	0.38	-0.02509095	1_2549920_2565382
scdrs_N	scdrs_T	0.0	0.0	0.0	1_2581560_2584533
scdrs_N	scdrs_T	0.041666668	0.055	0.40053788	1_2586491_2801717
scdrs_N	scdrs_T	0.0	0.0	0.0	1_2811850_2812692
scdrs_N	scdrs_T	0.0	0.0	0.0	1_2814432_2814998
scdrs_N	scdrs_T	0.0	0.0	0.0	1_2960658_2968707
scdrs_N	scdrs_T	0.0	0.0	0.0	1_3021483_3022903
scdrs_N	scdrs_T	0.0016666667	0.0016666667	0.0	1_3059615_3068437
scdrs_N	scdrs_T	0.0033333334	0.0	-inf	1_3069168_3438621
scdrs_N	scdrs_T	0.02	0.028333334	0.5025004	1_3454426_3481113
scdrs_N	scdrs_T	0.0033333334	0.0033333334	0.0	1_3487246_3487627
scdrs_N	scdrs_T	0.07666667	0.071666665	-0.097297266	1_3489920_3611495
scdrs_N	scdrs_T	0.0	0.0	0.0	1_3623190_3624743
scdrs_N	scdrs_T	0.45333335	0.51166666	0.17463194	1_3625002_3630127
scdrs_N	scdrs_T	0.06333333	0.046666667	-0.4405726	1_3630767_3736201
scdrs_N	scdrs_T	0.006666667	0.013333334	1.0	1_3746460_3771645
scdrs_N	scdrs_T	0.08	0.08833333	0.1429579	1_3772761_3775982
scdrs_N	scdrs_T	0.30333334	0.29	-0.06485123	1_3778558_3796504
scdrs_N	scdrs_T	0.075	0.06666667	-0.16992499	1_3812081_3857214
scdrs_N	scdrs_T	0.005	0.011666667	1.2223926	1_3857267_3885429
scdrs_N	scdrs_T	0.045	0.033333335	-0.43295932	1_3889125_3900293
scdrs_N	scdrs_T	0.0033333334	0.0033333334	0.0	1_3900372_3917225
scdrs_N	scdrs_T	0.0	0.0	0.0	1_3940565_3955262
scdrs_N	scdrs_T	0.0	0.0	0.0	1_3976133_4012699
scdrs_N	scdrs_T	0.0	0.0	0.0	1_4012921_4019508
scdrs_N	scdrs_T	0.0	0.0	0.0	1_4412027_4424689
scdrs_N	scdrs_T	0.0	0.0	0.0	1_4479131_4484375
scdrs_N	scdrs_T	0.0	0.0	0.0	1_4551735_4552145
scdrs_N	scdrs_T	0.0	0.0	0.0	1_4571481_4594009
scdrs_N	scdrs_T	0.0	0.0	0.0	1_4654732_4792534
scdrs_N	scdrs_T	0.0	0.0	0.0	1_4963954_4973298
scdrs_N	scdrs_T	0.0	0.0	0.0	1_4973381_4981568
scdrs_N	scdrs_T	0.0	0.0	0.0	1_5086459_5090899
scdrs_N	scdrs_T	0.0	0.0	0.0	1_5301928_5307394
scdrs_N	scdrs_T	0.0	0.0	0.0	1_5478736_5494674
scdrs_N	scdrs_T	0.0033333334	0.0	-inf	1_5561709_5668295
scdrs_N	scdrs_T	0.09	0.085	-0.08246221	1_5862811_6101193
scdrs_N	scdrs_T	0.006666667	0.006666667	0.0	1_6101793_6180123
scdrs_N	scdrs_T	2.79	2.73	-0.03136414	1_6181269_6235972
scdrs_N	scdrs_T	0.008333334	0.0033333334	-1.3219281	1_6236240_6239444
scdrs_N	scdrs_T	0.0	0.0033333334	inf	1_6244192_6245578
