group	cutoff	label	percent
cs_N	0.9	[0, 0.9)	22.38117355627806
cs_N	0.99	[0.9, 0.99)	17.513546988697943
cs_N	1.01	[0.99, 1]	60.105279455024
rs_N	0.9	[0, 0.9)	22.38117355627806
rs_N	0.99	[0.9, 0.99)	17.513546988697943
rs_N	1.01	[0.99, 1]	60.105279455024
cs_T	0.9	[0, 0.9)	22.080817464003715
cs_T	0.99	[0.9, 0.99)	17.733395262424523
cs_T	1.01	[0.99, 1]	60.18578727357176
rs_T	0.9	[0, 0.9)	22.080817464003715
rs_T	0.99	[0.9, 0.99)	17.733395262424523
rs_T	1.01	[0.99, 1]	60.18578727357176
