feature	SpaceRanger	stCNASim-afc	STARsolo
IL12RB1	0.02666666731238365	0.02666666666666667	0.03166666666666667
MAST3	0.30000001192092896	0.3	0.3433333333333333
AC007192.2	0.0016666667070239782	0.0016666666666666668	0.006666666666666667
PIK3R2	0.03999999910593033	0.04	0.045
AC007192.1	0.0	0.0	0.0
IFI30	0.014999999664723873	0.015	0.015
MPV17L2	0.06666667014360428	0.06666666666666667	0.06666666666666667
RAB3A	0.021666666492819786	0.021666666666666667	0.025
AC005759.1	0.0033333334140479565	0.0033333333333333335	0.0033333333333333335
AC008397.2	0.0	0.0	0.0
PDE4C	0.0	0.0	0.0
AC008397.1	0.0	0.0	0.0
IQCN	0.06666667014360428	0.06666666666666667	0.07
JUND	4.938333511352539	4.9383333333333335	5.338333333333333
LSM4	0.49166667461395264	0.49166666666666664	0.525
PGPEP1	0.3216666579246521	0.32166666666666666	0.32666666666666666
GDF15	0.4749999940395355	0.475	0.51
LRRC25	0.05833333358168602	0.058333333333333334	0.06
SSBP4	0.3466666638851166	0.3466666666666667	0.37333333333333335
ISYNA1	0.10999999940395355	0.11	0.12666666666666668
AC010335.1	0.0	0.0	0.0
ELL	0.15166667103767395	0.15166666666666667	0.16333333333333333
AC005387.1	0.0	0.0	0.0
FKBP8	0.5416666865348816	0.5416666666666666	0.5916666666666667
AC005387.2	0.0	0.0	0.0
KXD1	0.2616666555404663	0.26166666666666666	0.2683333333333333
AC005253.1	0.0	0.0	0.0
AC005253.2	0.0	0.0	0.0
UBA52	7.828333377838135	7.825	8.408333333333333
CRLF1	0.004999999888241291	0.005	0.005
REX1BD	0.8766666650772095	0.8766666666666667	0.9316666666666666
TMEM59L	0.0	0.0	0.0016666666666666668
KLHL26	0.038333334028720856	0.03833333333333333	0.03833333333333333
CRTC1	0.07000000029802322	0.07	0.08
COMP	0.008333333767950535	0.008333333333333333	0.008333333333333333
UPF1	0.2783333361148834	0.2783333333333333	0.31666666666666665
GDF1	0.0	0.0	0.0
CERS1	0.0	0.0	0.0
AC005197.1	0.0	0.0	0.0
COPE	0.6383333206176758	0.6383333333333333	0.6916666666666667
AC002985.1	0.0	0.0	0.0
DDX49	0.16333332657814026	0.16333333333333333	0.17666666666666667
HOMER3	0.10499999672174454	0.105	0.11666666666666667
HOMER3-AS1	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
SUGP2	0.3933333456516266	0.3933333333333333	0.43666666666666665
ARMC6	0.6883333325386047	0.6883333333333334	0.7466666666666667
SLC25A42	0.4000000059604645	0.4	0.43
TMEM161A	0.1966666728258133	0.19666666666666666	0.21333333333333335
BORCS8-MEF2B	0.0033333334140479565	0.0033333333333333335	0.0033333333333333335
MEF2B	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
BORCS8	0.07000000029802322	0.07	0.07666666666666666
RFXANK	0.22166666388511658	0.22166666666666668	0.24666666666666667
NR2C2AP	0.03999999910593033	0.04	0.041666666666666664
NCAN	0.0	0.0	0.0
HAPLN4	0.2266666740179062	0.22666666666666666	0.24166666666666667
TM6SF2	0.22333332896232605	0.22333333333333333	0.24333333333333335
SUGP1	0.20333333313465118	0.20333333333333334	0.225
MAU2	0.1550000011920929	0.155	0.16333333333333333
GATAD2A	0.1733333319425583	0.17333333333333334	0.18166666666666667
AC092067.1	0.0	0.0	0.0
TSSK6	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
NDUFA13	1.931666612625122	1.9316666666666666	2.1333333333333333
AC011448.1	0.0	0.0	0.0016666666666666668
YJEFN3	0.054999999701976776	0.055	0.056666666666666664
CILP2	0.0033333334140479565	0.0033333333333333335	0.0033333333333333335
PBX4	0.008333333767950535	0.008333333333333333	0.01
AC002306.1	0.0	0.0	0.0
LPAR2	0.05999999865889549	0.06	0.065
GMIP	0.05999999865889549	0.06	0.06166666666666667
ATP13A1	0.27000001072883606	0.27	0.28833333333333333
ZNF101	0.028333334252238274	0.028333333333333332	0.03
ZNF14	0.004999999888241291	0.005	0.005
LINC00663	0.0033333334140479565	0.0033333333333333335	0.005
AC011477.4	0.0	0.0	0.0
ZNF506	0.054999999701976776	0.055	0.06
ZNF253	0.02666666731238365	0.02666666666666667	0.028333333333333332
AC011477.3	0.0	0.0	0.0
ZNF93	0.009999999776482582	0.01	0.013333333333333334
ZNF682	0.02666666731238365	0.02666666666666667	0.028333333333333332
ZNF90	0.013333333656191826	0.013333333333333334	0.065
AC011447.3	0.0	0.0	0.0
ZNF486	0.006666666828095913	0.006666666666666667	0.008333333333333333
AC008554.1	0.0	0.0	0.0
ZNF737	0.0	0.0	0.0
AC010636.2	0.0	0.0	0.0
AC010636.1	0.0	0.0	0.0
ZNF626	0.028333334252238274	0.028333333333333332	0.03
AC010329.1	0.0	0.0	0.0
ZNF66	0.0033333334140479565	0.0033333333333333335	0.0016666666666666668
ZNF85	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
AC008739.1	0.0	0.0	0.0
ZNF430	0.021666666492819786	0.021666666666666667	0.021666666666666667
ZNF714	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
ZNF431	0.04500000178813934	0.045	0.04666666666666667
ZNF708	0.013333333656191826	0.013333333333333334	0.015
ZNF738	0.0033333334140479565	0.0033333333333333335	0.0033333333333333335
ZNF493	0.05833333358168602	0.058333333333333334	0.058333333333333334
AC010615.4	0.0	0.0	0.0
LINC00664	0.0	0.0	0.0016666666666666668
ZNF429	0.03166666626930237	0.03166666666666667	0.03166666666666667
AC123912.1	0.0	0.0	0.0
AC123912.4	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
AC123912.2	0.0	0.0	0.0
ZNF100	0.028333334252238274	0.028333333333333332	0.03
AC092364.1	0.0	0.0	0.0
ZNF43	0.013333333656191826	0.013333333333333334	0.016666666666666666
ZNF208	0.0016666667070239782	0.0016666666666666668	0.0016666666666666668
AC003973.2	0.0	0.0	0.0
