group	cutoff	label	percent
SpaceRanger	0.9	[0, 0.9)	22.521070897372336
SpaceRanger	0.99	[0.9, 0.99)	17.45785820525533
SpaceRanger	1.01	[0.99, 1]	60.02107089737233
stCNASim-afc	0.9	[0, 0.9)	22.517972235994048
stCNASim-afc	0.99	[0.9, 0.99)	17.46095686663362
stCNASim-afc	1.01	[0.99, 1]	60.02107089737233
STARsolo	0.9	[0, 0.9)	23.326722855726327
STARsolo	0.99	[0.9, 0.99)	17.09531482399603
STARsolo	1.01	[0.99, 1]	59.57796232027764
