x	y	a	b	r2	p_value
SpaceRanger	stCNASim-afc	0.9998633324024503	-2.8620328138869843e-06	0.9999936347462489	0.0
STARsolo	stCNASim-afc	0.9698793819192012	-0.0008928924916281099	0.9996126710379546	0.0
STARsolo	SpaceRanger	0.9700132036936157	-0.0008902139692385091	0.9996216154742942	0.0
