group	mean	zero_prop
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
SpaceRanger	0.0	0.9999999999999999
