feature	cs_N	rs_N	cs_T	rs_T
GLUD1	3.995	3.995	3.9783333333333335	3.9783333333333335
SHLD2	0.5733333333333334	0.5733333333333334	0.575	0.575
NUTM2A-AS1	0.06833333333333333	0.06833333333333333	0.05	0.05
NUTM2A	0.0	0.0	0.0	0.0
NUTM2D	0.0	0.0	0.0	0.0
LINC00864	0.0	0.0	0.0	0.0
MINPP1	0.4683333333333333	0.4683333333333333	0.4866666666666667	0.4866666666666667
AL138767.2	0.0	0.0	0.0	0.0
AL138767.3	0.0	0.0	0.0	0.0
AL138767.1	0.0	0.0	0.0	0.0
PAPSS2	0.6316666666666667	0.6316666666666667	0.64	0.64
ATAD1	0.235	0.235	0.245	0.245
KLLN	0.0	0.0	0.0	0.0
PTEN	0.665	0.665	0.69	0.69
RNLS	0.03166666666666667	0.03166666666666667	0.028333333333333332	0.028333333333333332
LIPJ	0.0	0.0	0.0	0.0
LIPF	0.0	0.0	0.0	0.0
LIPK	0.0	0.0	0.0	0.0
LIPN	0.0	0.0	0.0	0.0
LIPM	0.0	0.0	0.0	0.0
ANKRD22	0.0	0.0	0.0	0.0
STAMBPL1	0.035	0.035	0.028333333333333332	0.028333333333333332
ACTA2-AS1	0.0	0.0	0.0	0.0
ACTA2	0.5033333333333333	0.5033333333333333	0.46166666666666667	0.46166666666666667
FAS	0.185	0.185	0.19333333333333333	0.19333333333333333
CH25H	0.035	0.035	0.03166666666666667	0.03166666666666667
LIPA	0.9183333333333333	0.9183333333333333	0.8833333333333333	0.8833333333333333
IFIT2	0.07	0.07	0.04833333333333333	0.04833333333333333
AL353751.1	0.0	0.0	0.0	0.0
IFIT3	0.08833333333333333	0.08833333333333333	0.13166666666666665	0.13166666666666665
IFIT1B	0.0	0.0	0.0	0.0
IFIT1	0.2916666666666667	0.2916666666666667	0.325	0.325
IFIT5	0.07333333333333333	0.07333333333333333	0.075	0.075
SLC16A12	0.016666666666666666	0.016666666666666666	0.015	0.015
SLC16A12-AS1	0.0	0.0	0.0	0.0
PANK1	0.7616666666666667	0.7616666666666667	0.7633333333333333	0.7633333333333333
AL157400.2	0.0	0.0	0.0	0.0
AL157400.1	0.0	0.0	0.0	0.0
AL157400.3	0.0	0.0	0.0	0.0
AL157400.4	0.0	0.0	0.0	0.0
KIF20B	0.041666666666666664	0.041666666666666664	0.016666666666666666	0.016666666666666666
LINC00865	0.005	0.005	0.005	0.005
LINC01374	0.0	0.0	0.0	0.0
LINC01375	0.0	0.0	0.0	0.0
AL391704.2	0.0	0.0	0.0	0.0
AL391704.1	0.0	0.0	0.0	0.0
AL391704.3	0.0	0.0	0.0	0.0
AL390862.1	0.0	0.0	0.0	0.0
HTR7	0.0033333333333333335	0.0033333333333333335	0.0033333333333333335	0.0033333333333333335
RPP30	0.12	0.12	0.1	0.1
ANKRD1	0.0	0.0	0.0	0.0
AL365434.1	0.0	0.0	0.0	0.0
AL365434.2	0.0	0.0	0.0	0.0
LINC00502	0.0	0.0	0.0	0.0
PCGF5	0.3	0.3	0.305	0.305
HECTD2	0.041666666666666664	0.041666666666666664	0.041666666666666664	0.041666666666666664
PPP1R3C	0.48833333333333334	0.48833333333333334	0.5066666666666667	0.5066666666666667
TNKS2-AS1	0.0	0.0	0.0	0.0
TNKS2	0.20666666666666667	0.20666666666666667	0.19333333333333333	0.19333333333333333
FGFBP3	0.016666666666666666	0.016666666666666666	0.015	0.015
AL359198.1	0.0	0.0	0.0	0.0
BTAF1	0.11333333333333333	0.11333333333333333	0.08666666666666667	0.08666666666666667
CPEB3	0.26	0.26	0.3016666666666667	0.3016666666666667
MARCH5	0.19333333333333333	0.19333333333333333	0.19333333333333333	0.19333333333333333
IDE	0.16833333333333333	0.16833333333333333	0.155	0.155
KIF11	0.008333333333333333	0.008333333333333333	0.005	0.005
HHEX	0.72	0.72	0.7916666666666666	0.7916666666666666
EXOC6	0.04666666666666667	0.04666666666666667	0.03166666666666667	0.03166666666666667
AL358613.1	0.0	0.0	0.0	0.0
CYP26C1	0.0	0.0	0.0	0.0
AL358613.2	0.0	0.0	0.0	0.0
CYP26A1	0.06333333333333334	0.06333333333333334	0.065	0.065
MYOF	0.02666666666666667	0.02666666666666667	0.02	0.02
CEP55	0.0	0.0	0.0	0.0
FFAR4	0.0	0.0	0.0	0.0
RBP4	58.43666666666667	58.43666666666667	55.765	55.765
PDE6C	0.0	0.0	0.0	0.0
FRA10AC1	0.25833333333333336	0.25833333333333336	0.23	0.23
LGI1	0.0016666666666666668	0.0016666666666666668	0.008333333333333333	0.008333333333333333
AL358154.1	0.0	0.0	0.0	0.0
SLC35G1	0.028333333333333332	0.028333333333333332	0.03166666666666667	0.03166666666666667
PLCE1	0.01	0.01	0.008333333333333333	0.008333333333333333
PLCE1-AS2	0.0	0.0	0.0	0.0
AL389885.1	0.0	0.0	0.0	0.0
PLCE1-AS1	0.0	0.0	0.0	0.0
AL139124.1	0.0	0.0	0.0	0.0
NOC3L	0.09333333333333334	0.09333333333333334	0.09666666666666666	0.09666666666666666
TBC1D12	0.051666666666666666	0.051666666666666666	0.04666666666666667	0.04666666666666667
HELLS	0.011666666666666667	0.011666666666666667	0.013333333333333334	0.013333333333333334
CYP2C18	1.0483333333333333	1.0483333333333333	0.9383333333333334	0.9383333333333334
AL583836.1	0.0	0.0	0.0	0.0
CYP2C19	0.043333333333333335	0.043333333333333335	0.05333333333333334	0.05333333333333334
CYP2C9	12.583333333333334	12.583333333333334	12.02	12.02
CYP2C8	18.555	18.555	18.115	18.115
AL157834.1	0.0	0.0	0.0	0.0
ACSM6	0.0	0.0	0.0	0.0
AL157834.2	0.0	0.0	0.0	0.0
PDLIM1	0.725	0.725	0.7666666666666667	0.7666666666666667
SORBS1	0.245	0.245	0.195	0.195
ALDH18A1	0.16166666666666665	0.16166666666666665	0.21333333333333335	0.21333333333333335
TCTN3	0.15166666666666667	0.15166666666666667	0.16	0.16
ENTPD1	0.065	0.065	0.06166666666666667	0.06166666666666667
ENTPD1-AS1	0.013333333333333334	0.013333333333333334	0.006666666666666667	0.006666666666666667
AL365273.2	0.0	0.0	0.0	0.0
CC2D2B	0.0	0.0	0.0	0.0
CCNJ	0.005	0.005	0.011666666666666667	0.011666666666666667
ZNF518A	0.13166666666666665	0.13166666666666665	0.14166666666666666	0.14166666666666666
BLNK	0.15	0.15	0.12833333333333333	0.12833333333333333
AL136181.1	0.0	0.0	0.0	0.0
DNTT	0.0	0.0	0.0	0.0
OPALIN	0.0	0.0	0.0	0.0
TLL2	0.0	0.0	0.0	0.0
TM9SF3	1.0583333333333333	1.0583333333333333	1.085	1.085
PIK3AP1	0.5783333333333334	0.5783333333333334	0.6366666666666667	0.6366666666666667
LCOR	0.16333333333333333	0.16333333333333333	0.14833333333333334	0.14833333333333334
SLIT1	0.016666666666666666	0.016666666666666666	0.0033333333333333335	0.0033333333333333335
SLIT1-AS1	0.0	0.0	0.0	0.0
ARHGAP19-SLIT1	0.0	0.0	0.0	0.0
ARHGAP19	0.041666666666666664	0.041666666666666664	0.045	0.045
FRAT1	0.19166666666666668	0.19166666666666668	0.14833333333333334	0.14833333333333334
FRAT2	0.09333333333333334	0.09333333333333334	0.05333333333333334	0.05333333333333334
RRP12	0.08166666666666667	0.08166666666666667	0.10666666666666667	0.10666666666666667
AL355490.2	0.0	0.0	0.0	0.0
PGAM1	1.0666666666666667	1.0666666666666667	1.06	1.06
EXOSC1	0.075	0.075	0.10166666666666667	0.10166666666666667
ZDHHC16	0.1	0.1	0.095	0.095
MMS19	0.25	0.25	0.21166666666666667	0.21166666666666667
UBTD1	0.07333333333333333	0.07333333333333333	0.09333333333333334	0.09333333333333334
ANKRD2	0.0	0.0	0.0	0.0
HOGA1	0.22833333333333333	0.22833333333333333	0.205	0.205
AL355315.1	0.0	0.0	0.0	0.0
C10orf62	0.01	0.01	0.008333333333333333	0.008333333333333333
MORN4	0.011666666666666667	0.011666666666666667	0.006666666666666667	0.006666666666666667
PI4K2A	0.10666666666666667	0.10666666666666667	0.08833333333333333	0.08833333333333333
AVPI1	0.3983333333333333	0.3983333333333333	0.44333333333333336	0.44333333333333336
MARVELD1	0.043333333333333335	0.043333333333333335	0.051666666666666666	0.051666666666666666
ZFYVE27	0.22	0.22	0.165	0.165
SFRP5	0.08666666666666667	0.08666666666666667	0.06833333333333333	0.06833333333333333
LINC00866	0.0	0.0	0.0	0.0
