group	cutoff	label	percent
cs_N	0.9	[0, 0.9)	21.86096919027713
cs_N	0.99	[0.9, 0.99)	17.80771017185323
cs_N	1.01	[0.99, 1]	60.33132063786964
rs_N	0.9	[0, 0.9)	21.86096919027713
rs_N	0.99	[0.9, 0.99)	17.80771017185323
rs_N	1.01	[0.99, 1]	60.33132063786964
cs_T	0.9	[0, 0.9)	21.5513237343242
cs_T	0.99	[0.9, 0.99)	18.036847809258397
cs_T	1.01	[0.99, 1]	60.4118284564174
rs_T	0.9	[0, 0.9)	21.5513237343242
rs_T	0.99	[0.9, 0.99)	18.036847809258397
rs_T	1.01	[0.99, 1]	60.4118284564174
