x	y	a	b	r2	p_value
cs_N	rs_N	1.000000073028689	-4.655492778656261e-08	0.9999999964896901	0.0
cs_T	rs_T	1.0000000415121577	-2.365187966809376e-08	0.9999999990964191	0.0
