x	y	a	b	r2	p_value
STARsolo_N	stCNASim-afc_N	1.0002186937156918	1.2671562605626868e-05	0.9999832481782701	0.0
STARsolo_T	stCNASim-afc_T	1.0002230084391677	1.2755379301878787e-05	0.9999848468625806	0.0
